INFO:     Started server process [23696]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8765 (Press CTRL+C to quit)
ACTOR IDENTITY: 'tool:python' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'detector_engine' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'process:curl' now spans 5 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'task_boundary_engine' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'process:agenttrace' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'terminal:developer' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'policy_engine' now spans 9 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'agent:continue_dev' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'tool:node' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'agent:json-language-features' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'codex:unknown' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'process:conhost' now spans 3 sessions (previously 466e3483-2adb-4382-a7d0-5b293287cf39)
ACTOR IDENTITY: 'process:freebuff' now spans 6 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'process:22132' now spans 6 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'codex:unknown' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'codex:unknown' now spans 7 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
ACTOR IDENTITY: 'process:tasklist' now spans 3 sessions (previously 1a117093-d48c-41aa-a03d-236dbc4e01eb)
